crim crie	參差/㠁嵯
guah kiiwh	過去
guah xit	過失
guah cak	過錯
ttaux guanh	道觀
tteix siiann	遞相
ppieh nanh	避難
ben swih	邊塞
ssia vak	邪惡
ssia grauh	邪教
hhan dan	邯鄲
ppox nnox	部伍
ppox kiiok	部曲
ppwux xxiiwh	部署
ppox ttuwih	部隊
riiu tteih	郵遞
pwih jiionnx	配種
ttiionn qyt	重出
ttiionn hhwp	重合
ttiionnx sim	重心
ttiionn kriannh	重慶
ttiionn sin	重新
ttiionn niiux	重鈕/重紐
ttiionn zox	重組
ttiionn ppiiuh	重複
ttiionnx vieuh	重要
ttiionnx xxih	重視
ttiionnx liiannh	重量
ttiionnx vrim	重音
ttiionn ruunh	重韻
ttiionnx demx	重點
jim ciak	針刺
nnrin hhann	銀行
cak luanh	錯亂
cak zonnh	錯綜
cak nnoh	錯誤
cak kwi	錯開
cak ccwp	錯雜
lienh ziep	鏈接
ttiiann grah	長假
diiannx ziix	長子
diiannx suwn	長孫
diiannx viuh	長幼
ttiiann hiinn	長興
ttiiannh tteuh	長調
ven jie	閼氏
nnuuonx ttieu	阮朝
va ppann	阿房
ppiioh hhuah	附和
ppiioh ttiiak	附着
ppiioh kkiinx	附近
hhronn ppiiuk	降服/降伏
hhronn briann	降兵
gronnh lak	降落
ryenh hhrauh	院校
lie ppriet	離别/離別
nan ieh	難易
riiox venh	雨燕
syet bieu	雪颮
ttenh naux	電腦
ttenh hhax	電荷
cenn xieuh	青少
cenn ccannh	青藏
mienh siiannh	面相
mat hhat	靺鞨
vrim nnrok	音樂
ppin lyt	頻率
pieu gua	飄過
iih gii	食其
vrimh mrax	飲馬
iiw gan	餘汗/餘干
mrax qia	馬車
kkrie qia	騎車
gau hhrauh	高校
gau vieu	高要
nniiw gan	魚乾/魚竿
van kann	鮟鱇/安康
hhuann jiionnx	黃種
lei ttieu	黎朝
hwk jiionnx	黑種
demx dannh	點當
ppih guanh	鼻冠
kiiu ccii	龜兹
vit dau cet	一刀切
gan gnie ziix	乾兒子
gnih gnin dyenh	二人轉
ttwih ssiah lyt	代謝率
hhrem guk gruan	函谷關
tox iiok hhuwn	吐谷渾
ttaih miinh kwux	大汶口
ciiann zinh ziiux	將進酒
tuwi pox giii	推普機
grau sriioh hhrok	教數學
grauh iiuk ppwux	教育部
grau nniiwx miin	教語文
ppauh biiunn riiox	暴風雨
ppwnn riiux kryen	朋友圈
liix xieih ttuwt	李世乭
hhrauh vii ryenh	校醫院
mwi gan cwih	梅乾菜
ryeh xxip ma	爲什麼
pprak ruun guanh	白雲觀
hhunn jiionnx gnin	紅種人
ccih gan nnox	自乾五
ccih hhrann qia	自行車
vieuh biit gnien	要不然
guanh ccen gre	觀前街
ttwuh ppiiox gan	豆腐乾
zinh hruah luwnh	進化論
ttenh ttunnx qia	電動車
cenn xieuh nen	青少年
gau gwu lie	高句驪
biit iak yet hho	不亦說乎
xxip nen xxiiox muk	十年樹木
ximx xxii ttak xieih	審時度勢
tuwi sim diih biiuk	推心置腹
duanx kkii hhwux loh	斷其後路
danh ppiiuh danh hhei	旦復旦兮
dieu sam moh sih	朝三暮四
dieu dieu moh moh	朝朝暮暮
brak nen xxiiox gnin	百年樹人
die xiik ppiinh ziix	知識分子
giiunn xiiann grok diix riioh	宮商角徵羽
hhet ttok	㐖毒
vit vit	一一
vit hhrax	一下
vit ppennx	一並
vit gnih	一二
vit ttwih	一代
vit lwi	一來
vit grah	一價
vit nnuuon	一元
vit kkiionnh	一共
vit zwih	一再
vit jynx	一准
vit zwk	一則
vit xxie	一匙
vit banh	一半
vit kwux	一口
vit giioh	一句
vit ttunn	一同
vit hiiannh	一向
vit jiiu	一周
vit miiih	一味
vit primx	一品
vit duwi	一堆
vit kuwih	一塊
vit bek	一壁
vit ssiak	一夕
vit gniiw	一如
vit cciih	一字
vit ttennh	一定
vit gra	一家
vit ximx	一審
vit duwih	一對
vit ccwnn	一層
vit giix	一己
vit daih	一帶
vit ttoh	一度
vit lyt	一律
vit gennh	一徑
vit sim	一心
vit viih	一意
